,est,y_sample,date
3416,155.21565835120808,156.7582,2017-08-29
3417,156.61048385927077,157.1816,2017-08-30
3418,157.14029597999564,157.8071,2017-08-31
3419,157.72690023929496,157.8552,2017-09-01
3420,157.845325011523,155.9596,2017-09-05
3421,156.34270596836066,155.796,2017-09-06
3422,155.96770985656607,155.1705,2017-09-07
3423,155.31077425161178,152.6398,2017-09-08
3424,153.206178732279,155.4015,2017-09-11
3425,155.3009475428555,154.7856,2017-09-12
3426,154.82593098585994,153.6213,2017-09-13
3427,153.85647590652937,152.3031,2017-09-14
3428,152.5950724444771,153.8426,2017-09-15
3429,153.76428397269422,152.6783,2017-09-18
3430,152.7913528037518,152.7361,2017-09-19
3431,152.8340908255326,150.1765,2017-09-20
3432,150.69459471901823,147.5977,2017-09-21
3433,148.19293454945503,146.1544,2017-09-22
3434,146.58075092784728,144.865,2017-09-25
3435,145.17747262058796,147.3572,2017-09-26
3436,147.21207153349383,148.406,2017-09-27
3437,148.32240933426868,147.4919,2017-09-28
3438,147.61339488921175,148.3002,2017-09-29
3439,148.29311183561865,148.0019,2017-10-02
3440,147.9988118678854,148.6466,2017-10-03
3441,148.60001879677193,147.6843,2017-10-04
3442,147.81085606675376,149.5222,2017-10-05
3443,149.4191152828655,149.4356,2017-10-06
3444,149.41029111881988,149.9552,2017-10-09
3445,149.9125142726656,150.0129,2017-10-10
3446,149.99982108912843,150.6384,2017-10-11
3447,150.5882481031382,150.1092,2017-10-12
3448,150.18048897773681,151.0618,2017-10-13
3449,151.00334682975154,153.8426,2017-10-16
3450,153.55685111878486,154.4104,2017-10-17
3451,154.28710330177964,153.7272,2017-10-18
3452,153.8098734821976,150.0899,2017-10-19
3453,150.88462901541527,150.3497,2017-10-20
3454,150.65473514525678,150.2727,2017-10-23
3455,150.27063894877776,151.1676,2017-10-24
3456,151.1020203253657,150.5037,2017-10-25
3457,150.56628679465527,151.4659,2017-10-26
3458,151.41958767948907,156.8929,2017-10-27
3459,156.35525822820438,160.4244,2017-10-30
3460,159.9188159873051,162.6567,2017-10-31
3461,162.34702164615618,160.5879,2017-11-01
3462,160.84412885169317,161.7619,2017-11-02
3463,161.72288496530362,165.9861,2017-11-03
3464,165.53837486146702,167.67,2017-11-06
3465,167.53853598644253,168.2089,2017-11-07
3466,168.14961753282984,169.5849,2017-11-08
3467,169.44780788927343,169.2385,2017-11-09
3468,169.25203403308208,168.6804,2017-11-10
